Match No.,Date,Venue,1st Team,2nd Team,Stage,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,,Teams,1st_Inning_score,2nd_Inning_score,Winner
0,"Saturday,June 1,2024","Grand Prairie Stadium, Dallas",Canada,United State of America,Group A,United State Of America,Fielding,194,5,197,3,United State of America,Normal Match,Wickets,7,Aaron Jones,94,Dilon Heyliger,1,19,Aaron Jones,,CAN vs USA,194/5,197/3,USA
1,"Sunday,June 2,2024","Providence Stadium, Guyana",Papua New Guinea,Afghanistan,Group C,Afghanistan,Fielding,95,10,101,3,Afghanistan,Normal Match,Wickets,7,Gulbadin Naib,49,Fazalhaq Farooqi,3,16,Fazalhaq Farooqi,,PNG vs AFG,95/10,101/3,AFG
2,"Sunday,June 2,2024","Kensington Oval, Bridgetown, Barbados",Oman,Namibia,Group B,Namibia,Fielding,109,10,109,6,Namibia,Normal Match,Wickets,4,Jan Frylinck,45,Mehran Khan,3,7,David Wiese,,OMA vs NAM,109/10,109/6,NAM
3,"Monday,June 3,2024","Nassau County International Cricket Stadium, New York",Sri Lanka,South Africa,Group D,Sri Lanka,Batting,77,10,80,4,South Africa,Normal Match,Wickets,6,Quinton de Kock,20,Anrich Nortje,4,7,Anrich Nortje,,SL vs AF,77/10,80/4,SA
4,"Monday,June 3,2024","Providence Stadium, Guyana",Afghanistan,Uganda,Group C,Uganda,Fielding,183,5,58,10,Afghanistan,Normal Match,Runs,125,Rahmanullah Gurbaz,76,Fazalhaq Farooqi,5,9,Fazalhaq Farooqi,,AFG vs UGA,183/5,58/10,AFG
5,"Tuesday,June 4,2024","Kensington Oval, Bridgetown, Barbados",Scotland,England,Group B,Scotland,Batting,90,0,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,,SCO vs ENG,90/0,Rain/Rain,Rain
6,"Tuesday,June 4,2024","Grand Prairie Stadium, Dallas",Nepal,Netherlands,Group D,Netherlands,Fielding,106,10,109,4,Netherlands,Normal Match,Wickets,6,Max O'Dowd,54,Tim Pringle,3,20,Tim Pringle,,NEP vs NED,106/10,109/4,NED
7,"Wednesday,June 5,2024","Nassau County International Cricket Stadium, New York",Ireland,India,Group A,India,Fielding,96,10,97,2,India,Normal Match,Wickets,8,Rohit Sharma,52,Jasprit Bumrah,2,6,Jasprit Bumrah,,IRE vs IND,96/10,97/2,IND
8,"Wednesday,June 5,2024","Providence Stadium, Guyana",Papua New Guinea,Uganda,Group C,Uganda,Fielding,77,10,78,8,Uganda,Normal Match,Wickets,3,Riazat Ali Shah,33,Alpesh Ramjani,17,17,Riazat Ali Shah,,PNG vs UGA,77/10,78/8,UGA
9,"Wednesday,June 5,2024","Kensington Oval, Bridgetown, Barbados",Australia,Oman,Group B,Oman,Fielding,164,5,125,9,Australia,Normal Match,Runs,39,Marcus Stoinis,67,Marcus Stoinis,3,19,Marcus Stoinis,,AUS vs OMA,164/5,125/9,AUS
